Training Accuracy,Training Loss,Validation Accuracy,Validation Loss,Testing Accuracy,Testing Loss
0.65052551,1.094577551,0.508245885,1.673951983,0.476963967,1.798920035
0.761958539,0.679452837,0.722891569,0.821395874,0.678972244,0.962195396
0.828762054,0.521084666,0.705185175,0.896907032,0.735676289,0.85922575
0.840569139,0.460089117,0.83381927,0.555347204,0.817779064,0.683007598
0.868791699,0.394817203,0.831111133,0.565924168,0.834022462,0.519779801
0.875730991,0.3843292,0.773722649,0.786149025,0.75546366,0.802459538
0.896172822,0.308549553,0.887878776,0.34857583,0.881275833,0.386203527
0.897483349,0.311244816,0.862426043,0.453633904,0.876255155,0.390557259
0.905847728,0.27842468,0.84117645,0.533912659,0.83904314,0.514895439
0.92909354,0.224962398,0.798245609,0.721120596,0.808919072,0.70914942
0.930408478,0.222283155,0.909365535,0.295241535,0.90844655,0.272887856
0.932432413,0.19869031,0.857571185,0.563617826,0.839633763,0.553966582
0.920150638,0.250546336,0.933734953,0.236372292,0.906379223,0.307897121
0.936249077,0.189804748,0.91703701,0.234397531,0.905197859,0.289560288
0.932506382,0.195756868,0.944606423,0.171291724,0.938275278,0.195980847
0.948109686,0.162475318,0.940740764,0.169780388,0.950974584,0.184673533
0.942251444,0.173323631,0.906569362,0.336351722,0.904902518,0.317890555
0.956422865,0.137581095,0.951515138,0.129679888,0.94713527,0.156536356
0.937453747,0.176367506,0.909763336,0.287754118,0.89722389,0.290070444
0.944097102,0.145322233,0.941176474,0.210051328,0.936207891,0.224438563
0.961622834,0.115206435,0.956140339,0.170470327,0.948316574,0.228222042
0.949319184,0.147089317,0.886706948,0.6176368,0.867690504,0.622300804
0.957207203,0.130252689,0.958020985,0.129203707,0.94713527,0.157472089
0.957438767,0.12601459,0.897590339,0.315838814,0.883933842,0.371806353
0.967012584,0.103850856,0.943703711,0.181566313,0.939161241,0.181459039
0.974826694,0.077452429,0.941690981,0.173509926,0.931482553,0.210286662
0.96849519,0.101468869,0.949629605,0.162345603,0.942705274,0.189748093
0.952485383,0.144031331,0.932846725,0.220376447,0.922031879,0.255012602
0.960591137,0.121783867,0.957575738,0.127473056,0.953041911,0.144038126
0.964470744,0.104225561,0.963017762,0.153058738,0.935912609,0.200518727
